title,content,date,author,image
"ВИЧ-инфекция/СПИД – глобальные проблемы, которые касаются каждого во всем мире","Но кроме проблем, связанных с эпидемией, существуют не менее важные и значимые личные проблемы человека, столкнувшегося со страшным диагнозом. Конечно же, личные истории и масштабная эпидемия вдохновляют многих писателей, драматургов, поэтов на создание художественных произведений. Прочитав многие из них, можно не просто вдохновиться, но и по-иному взглянуть на этот мир. Наиболее интересные книги мы представим в этой статье.",09.01.2017,,
"Другу, который не спас мне жизнь","В 1988 году у французского писателя Эрве Гибера был диагностирован СПИД. В этот сложный период его жизни произошел расцвет его творчества. Его автобиографические произведения были посвящены в основном теме СПИДа и как с этой болезнью можно жить. В романе «Другу, который не спас мне жизнь» (1990) автор без прикрас поделился историей своей жизни, оказавшись один на один со своей болезнью. Он стал первым человеком, публично заявившим о своем недуге во Франции. Эрве описал всю глубину страданий погибающего от ВИЧ-инфекции, и это произведение стало настолько сенсационным, что привело к перевороту общественного мнения о ВИЧ-положительных.",10.01.2017,Эрве Гибер,
"Линия Красоты","В начале 80-х годов прошлого века мир получил мощный удар под названием СПИД. Сначала о нём никто не думал серьезно. Однако беззаботность, свободная любовь и наркотики сменились тяжёлым осознанием, что смерть очень близка. Этот роман повествует о талантливом студенте Оксфорда, о мире, полном роскоши, об успехе и разочаровании.",11.01.2017,Аллан Холлингхерст,
Мозг Кеннеди,"Детективная история об археологе Луизе Кантор, которую поиски причины смерти ее единственного ребенка приводят в Африку. Где она сталкивается с такими проблемами как нищета, бесчеловечность и жестокие эксперименты над ВИЧ-положительными. «Мозг Кеннеди» раскрывает тему такого «феномена» как СПИД: его социальное значение, стигматизацию, философию жизни и смерти. Автор поднимает эту актуальную проблему в произведении и заставляет читателей основательно переосмыслить свое отношение к ВИЧ-позитивным и сделать выводы.",12.01.2017,Хеннинг Манкелль,
В интернете кто-то неправ,"Ася Казанцева, в своей недавно вышедшей книге, объясняет, что для того, чтобы разобраться в верности какого-либо утверждения, не нужно быть гуру той или иной области жизни, не обязательно быть доктором наук. Главное – научиться «докапываться» до правды и понимать общедоступную информацию. Так, автор дает объективную точку зрения о многих предрассудках людей насчет прививок, ГМО, ВИЧ и т.д., объясняя: что, как и почему.",13.01.2017,Ася Казанцева,
Над пропастью жизнь ярче,"Счастливая и спокойная жизнь без каких-либо проблем прекратилась сразу же после выдачи справки о состоянии здоровья и нового «приговора» Александры. Девушка оказалась ВИЧ-позитивна. От нее отвернулись друзья, её выгнали из дома, да еще и судьба связала с подозрительным авантюристом и карточным шулером. Читатель погружается в непростой и интересный сюжет, распутывает тайны вместе с главными героями и разгадывает загадки, которые закручивают в вихрь опасных событий.",13.01.2017,Анна и Сергей Литвиновы,
"ВИЧ, беременность и здоровье женщин","Главное для ребенка - здоровье его матери.
Планирование беременности.
Выбор способа родоразрешения.
Когда малыш уже появился.",14.01.2017,,IMG_20161213_162334.jpg
"Стигматизация и дискриминация людей, живущих с ВИЧ в России","Отчет по результатам социологического исследования",15.01.2017,,IMG_20161213_162409.jpg
"Побочные эффекты антиретровирусной терапии. Эффективный менеджмент.","Первоочередные вопросы.
Как защитить организм.
Врач и пациент.
Побочные эффекты и приверженность лечению.",16.01.2017,,IMG_20161213_162447.jpg
"Знакомство с комбинированной антиретровирусной терапией","Первоочередные вопросы.
Препараты и их комбинации.
Соблюдение режима.
Лекарственная устойчивость.",17.01.2017,,IMG_20161213_162610.jpg
"Мы хотим ребенка","Планирование беременности в ВИЧ-дискордантных парах",18.01.2017,,IMG_20161213_163003.jpg
"Школа пациента","Брошюра для пациентов, страдающих от туберкулеза.",19.01.2017,Партнеры во имя здоровья,IMG_20161213_163128.jpg
"ВИЧ и закон","Основная правовая информация о жизни с ВИЧ",19.01.2017,Позитивный диалог,IMG_20161213_163224.jpg
"Приверженность высокоактивной антиретровирусной терапии (ВААРТ) среди потребителей инъекционных наркотиков: эффективные программы вмешательств","Обзор научной литературы",20.01.2017,Юрий Саранков,IMG_20161213_163558.jpg
"Общий курс по ППМР","Карманный справочник",20.01.2017,USAID,IMG_20161213_163652.jpg
"ВИЧ и репродуктивые права женщин",,20.01.2017,,IMG_20161213_163705.jpg
"Лечение ВИЧ-инфекции","Вопросы и ответы",20.01.2017,,IMG_20161213_165259.jpg
"Счастливая семья - это возможно!",,20.01.2017,,IMG_20161213_165435.jpg
"Семья",,20.01.2017,,IMG_20161213_165457.jpg
"Избегая насилия",,20.01.2017,,IMG_20161213_165509.jpg
"Полезная информация о ВААРТ в вопросах и ответах",,20.01.2017,,IMG_20161213_165545.jpg
"Учимся жить с ВИЧ","Серия: просто о сложном",,20.17.2017,IMG_20161213_165600.jpg