ФИО 	Должность	Био 	фото	Подразделение	Направление	Проблема
Александрова Виктория Геннадьевна	главный бухгалтер экоцентра "Дронт"			none	none	none
Бакка Сергей Витальевич	председатель Фонда Нижегородского отделения СОПР			sopr	education, researches	birds
Ближенская Альбина Леонидовна	главный редактор газеты "Берегиня"			bereginya	 publications	none
Карякин Игорь Вячеславович	координатор полевых проектов Фонда Нижегородского отделения СОПР			sopr	education, researches	birds,rares
Каюмов Асхат Абдурахманович	Председатель Совета НОД экологический центр "Дронт"	Образование высшее, по специальности биолог. В 1978 году после окончания средней школы поступил на биологический факультет Нижегородского государственного университета, который закончил в 1983 году. Специализировался по кафедре физиология и биохимия человека и животных. После окончания университета работал учителем биологии в школе, старшим инженером-гидрохимиком Горьковского рыбокомбината, старшим инструктором областного совета Всероссийского общества охраны природы. В декабре 1989 года создал и возглавил областной экологический центр «Дронт». В апреле 1993 года по предложению Губернатора Нижегородской области Б.Е.Немцова организовал и возглавил департамент по охране природы и управлению природопользованием в администрации области. С апреля 1998 года уволился из администрации области и руководит экологическим центром «Дронт».  Экологическими проблемами Нижегородской области занимается с 1980 года, регулярно принимает участие в биологических экспедициях по Нижегородской области.  Автор свыше 400 статей в местных и центральных газетах и журналах, имеет десятки публикаций и брошюр, посвященных различным экологическим проблемам. Является учредителем экологической газеты «зеленых» Поволжья — «Берегиня».  Каюмов А. А. является участником работ по созданию в Нижегородской области системы ООПТ. Данной работой занимается с 1980 года. Является соавтором Программы развития ООПТ Нижегородской области.  Является одним из организаторов общественного экологического движения Поволжья «Поможем реке».  С 1980 года член Дружины охраны природы Горьковского госуниверситета, с 1988 по 1992 годы — член Совета Движения Дружин по охране природы, с 1989 по 1992 год — сопредседатель Совета Движения ДОП.  С 1987 года — член Социально-экологического Союза, с 1991 года — сопредседатель Совета оперативных действий Российского Социально-экологического Союза, с 2008 по 2010 годы — сопредседатель Российского Социально-экологического Союза, с 1993 года по 2003 год, с октября 2010 года — член Совета Международного Социально-экологического Союза. С 1992 года по 2002 год — председатель общественного совета по экологическим проблемам при Губернаторе Нижегородской области, с июля 2007 года — сопредседатель общественного совета по экологическим проблемам при Губернаторе Нижегородской области.  1996-1997 год — член Экспертного Совета Программы публикаций, осуществляемой ИСАР-Москва.  С 1997 по 1999 год — эксперт проекта РОЛЛ. В 1997, 2000-2001 годах — член Экспертного Совета Программы грантов «Местные инициативы», проводимой в рамках «Байкальского регионального компонента» проекта Международного Банка Реконструкции и Развития «Сохранение биоразнообразия» на средства Глобального Экологического Фонда.  С октября 1998 года по январь 2006 года — член Совета экологической безопасности Нижегородской области.  С 1999 года по 2006 год — член Координационного Совета проекта РОЛЛ.  С декабря 2006 года — член общественного совета при Уполномоченном по правам человека в Нижегородской области.  В январе 1984 года обучался на курсах повышения квалификации по экономике рыбного хозяйства внутренних водоемов и современному рыбоводству. В сентябре 1999 года прошел обучение на семинаре-тренинге «Связи с общественностью как инструмент установления социального партнерства», организованном Институтом содействия общественным инициативам «ИСАР». В марте 2000 года участвовал в качестве наблюдателя от НПО в межгосударственной конференции «Сохранение биоразнообразия в Европе» (Латвия, г.Рига, 20-23.03.2000). В ноябре-декабре 2000 года прослушал учебный курс «Экономические механизмы охраны природы и использования биоресурсов» на семинаре Центра подготовки и реализации международных проектов технического содействия и Проекта ГЭФ «Сохранение биоразнообразия». 2002 год — выпускник программы «Открытый мир» ( «Open World»). В октябре 2003 — марте 2004 прошел обучение на курсах «Интернет—технологии для экологов» в рамках программы «Обучение и доступ к Интернет» Управления Образовательных и Культурных Программ Государственого Департамента США.  Постановлением коллегии Министерства природных ресурсов Российской Федерации от 17 ноября 2003 года № 2787-к присвоено звание «Почетный работник охраны природы» с вручением нагрудного знака.	kaumov-askhat.jpg	none	none	cheboksarges
Киселева Надежда Юрьевна	зам. председателя Фонда Нижегородского отделения СОПР			sopr	education, researches	birds,rares
Крылов Федор Федорович	заслуженный "Чистильщик рек"		krylov-fedor.jpeg	rivercleaners	activist	locals
Лебединский Андрей Артемьевич	заместитель координатора Нижегородского общества охраны амфибий и рептилий			reptiles	education,researches,publications	rares
Ляпаева Ольга Николаевна	руководитель Нижегородского фольклорного клуба			folks	education,researches	
Паутова Татьяна Валерьевна	руководитель Эколого-просветительского центра “Оберег"			obereg	law,education	urban
Малова Надежда Николаевна	менеджер проектов Центра природосберегающих технологий	Образование высшее. Закончила Горьковский Инженерно-строительный институт им. В. П. Чкалова, санитарно-технический факультет, по специальности инженер-строитель.  По окончании института работала в проектном институте «Сантехпроект».  С 1994 года работаю в экологическом центре «Дронт».  Являюсь индивидуальным членом Международного Социально-Экологического Союза с 1996 года.  С 1998 года работаю в подразделении Центр природосберегающих технологий (ЦПТ).  Основная деятельность ЦПТ заключается в реализации и поддержке экологических и энергосберегающих проектов, реализуемых самостоятельно (Нижегородская область) и в партнерстве с Фондом «Устойчивое развитие» (Центральные регионы, Северный Кавказ и Поволжье).  В 2007–2008 гг. прошла обучение по программе курсов фитодизайна в садово-парковом строительстве ННГУ им. Н. И. Лобачевского.  С 2007 года являюсь координатором социального проекта «Растения дарят здоровье детям».  В 2008 г. успешно прошла курс дистанционного обучения «Управление НКО: создаем доверительное отношение к организации» в «Центре развития некоммерческих организаций» г. Санкт-Петербурга.  С 2008 года принимаю активное участие в реализации конкурса на самый благоустроенный населенный пункт Нижегородской области, организуемый Министерством ЖКХи ТЭК.	malova-nadezhda.jpeg	sbereg-center	activist	resources
Мацына Александр Александрович	инженер-программист орнитологической лаборатории			ornotologlab	education, researches	birds,rares
Мацына Александр Иванович	зав. орнитологической лабораторией			ornotologlab	education, researches	birds,rares
Мацына Екатерина Леонидовна	старший научный сотрудник орнитологической лаборатории			ornotologlab	education, researches	birds,rares
Орлов Евгений Владимирович	директор ИКЦ "Стрикс"			striks	education, publications	
Пестов Марк Валентинович	координатор Нижегородского общества охраны амфибий и рептилий	В 1983 году окончил биологический факультет Горьковского государственного университета им. Н.И. Лобачевского по кафедре зоологии. С 2004 года — кандидат биологических наук по специальности экология (тема диссертационной работы: «Эколого-фаунистическая характеристика и проблемы охраны амфибий и рептилий Нижегородской области»).  После окончания Университета работал преподавателем биологии и химии в сельской школе Тюменской области (1 год), зоологом Астраханской противочумной станции (8 лет). В 1995—2004 гг. — научный сотрудник и заместитель заведующего лаборатории охраны биоразнообразия при Нижегородском экологическом центре «Дронт». С 2004 года по настоящее время — Координатор общества охраны амфибий и рептилий при экоцентре «Дронт».  Являюсь индивидуальным членом Международного Социально-Экологического Союза с 1998 года. С 2000 года — член герпетологического общества им. Никольского; с 2005 — член Европейского герпетологического общества (Societas Europaea Herpetologica).  Пестов Марк Валентинович  С 2005 года вхожу в состав международной группы экспертов по рептилиям Северной Евразии Группы при Всемирном Союзе Охраны Природы (North Eurasian Reptile Specialist Group — The World Conservation Union) и выполняю функции секретаря этой группы.  Имею опыт по проектированию особо охраняемых природных территорий; проведению региональных кадастровых зоологических исследований; реализации биотехнических мероприятий по оптимизации условий обитания редких видов животных; реализации проектов, связанными с экологическим образованием.  Имею успешный опыт реализации крупных грантовых проектов, направленных на изучение, популяризацию и охрану биологического разнообразия, в качестве координатора и консультанта, при поддержке Международного фонда защиты животных (International Fund for Animal Welfare — IFAW), Европейского герпетологического общества (Societas Europaea Herpetologica — SEH), Агентства США по международному развитию (USAID), Фонда Руффорда (The Rufford Small Grants Foundation) и голландской неправительственной организации Milieukontakt Oost-Europa. Приоритетные регионы деятельности: Прикаспий и Кавказ.  В 2004 году выступил в качестве инициатора и консультанта проекта РОЛЛ «Комплексная оптимизация условий обитания хищных птиц на территории Республики Калмыкия».  C 2001 по 2007 годы при моем участии в 9 регионах РФ реализован проект «Царевна-лягушка» (Учимся наблюдать, изучать, охранять и любить нелюбимых животных), направленный на изучение, популяризацию и охрану амфибий и рептилий. В рамках проекта была организована серия конкурсов творческих и учебно-исследовательских работ, в которых приняли участие около 10 тысяч школьников.  Пестов Марк Валентинович  С 2003 года являюсь координатором долгосрочного проекта «Внимание, черепаха!», направленного на изучение и охрану черепах на европейской части РФ. Проект направлен на снижение потребительского спроса на черепах в качестве живых игрушек путем проведения широкой PR-кампании в СМИ. С 2006 года проект в основном направлен на изучение и охрану средиземноморской черепахи.  Имею большой опыт работы со СМИ, в том числе — с журналами «National Geographic Юный путешественник» и «National Geographic Россия», телевидением и радио. Являюсь автором более 50 научных и научно-популярных публикаций посвященных изучению, популяризации и охране биоразнообразия (главным образом — амфибий и рептилий). Список основных публикаций:  1. Бакка А. И., Бакка С. В., Пестов М. В. Организация и проведение биотехнических работ по охране редких видов животных: Метод. пособие. Н. Новгород: Международный Социально-экологический союз, Экологический центр «Дронт», 2001. 39 с.  2. Маннапова Е. И., Пестов М. В. Итоги кадастровых герпетологических исследований в Нижегородской области // Вопросы герпетологии: Матер. I съезда герпетол. об-ва им. А. М. Никольского. Пущино; М., 2001. С. 185—188.  3. Маннапова Е. И., Пестов М. В. Rana esculenta — комплекс на территории Нижегородской области // Актуальные проблемы герпетологии и токсинологии: Сб. науч. трудов. Тольятти, 2001. Вып. 5. С. 69—70.  4. Маннапова Е. И., Пестов М. В. «Царевна-лягушка» путешествует по России // Астраханский вестн. экол. образования. 2001. № 1—2.  5. Маннапова Е. И., Пестов М. В. Герпетофауна Керженского заповедника // Труды Государственного природного заповедника «Керженский». Т. 2. Н. Новгород, 2002. С. 71—77.  6. Маннапова Е. И., Пестов М. В., Лебединский А. А. Земноводные и пресмыкающиеся Керженского государственного заповедника // II конф. герпетологов Поволжья: Тез. докл. Тольятти, 1999. С. 37—38.  7. Парамонов Г. В., Пестов М. В., Маннапова Е. И. Болотная черепаха — Emys orbicularis L. // Красная книга Нижегородской области. Н. Новгород, 2003. С. 155—156.  8. Пестов М. В. Проект «Внимание, черепаха!» //Актуальные проблемы герпетологии и токсинологии: Сб. науч. тр. Вып. 7. Тольятти, 2004. С. 100—102.  9. Пестов М. В., Лебединский А. А., Ануфриев В. М. Проект по реинтродукции номинативного подвида обыкновенной квакши (Hyla arborea arborea) на территории России // Третья конференция герпетологов Поволжья: Матер. регион. конф. (г. Тольятти, 5—7 февраля 2003 г.). Тольятти, 2003. С. 64—67.  10. Пестов М. В., Маннапова Е. И. Опыт проведения кадастровых герпетологических работ в Нижегородской области // Вторая конференция герпетологов Поволжья: Тез. докл. Тольятти, 1999. С. 46—47.  11. Пестов М. В., Маннапова Е. И., Вострикова Г. А. Медицинское значение обыкновенной гадюки (Vipera berus) в Нижегородской области // Актуальные проблемы герпетологии и токсинологии: Сб. науч. тр. Тольятти, 2000а. Вып. 4. С. 20—24.  12. Пестов М. В., Ушаков В. А., Бакка С. В., Парамонов Г. В., Маннапова Е. И. Земноводные и пресмыкающиеся, занесенные в Красную книгу Нижегородской области // Актуальные проблемы герпетологии и токсинологии: Сб. науч. трудов. Тольятти, 1999. Вып. 3. С. 81—86.  13. Пестов М. В., Бакка С. В., Киселева Н. Ю., Маннапова Е. И. Земноводные и пресмыкающиеся Нижегородской области: Метод. пособие. Н. Новгород, 1999. 44 с.  14. Пестов М. В., Бакка С. В., Катунов Д. П., Маннапова Е. И. Распространение амфибий и рептилий в Нижегородской области // Вестн. Ин-та биол. Коми НЦ УрО РАН. 2000. № 9 (35). С. 17—19.  15. Пестов М. В., Маннапова Е. И. Областной конкурс исследовательских и творческих работ «Царевна-лягушка» как эффективная форма экологического образования // Экологическое образование и воспитание в Нижегородской области на рубеже веков: Матер. 5 науч.-практ. конф. Н. Новгород, 1999. С. 91—93.  16. Пестов М. В., Маннапова Е. И. Тепловой шок как причина гибели обыкновенных гадюк в естественных условиях // Актуальные проблемы герпетологии и токсикологии: Сб. науч. тр. Тольятти, 1999. Вып. 3. С. 87—89.  17. Пестов М. В., Маннапова Е. И. Быть лягушке царевной! // Вестник АсЭкО. 2000а. № 1. С. 44—47.  18. Пестов М. В., Маннапова Е. И. «Царевна-лягушка», «Зилант»… Кто следующий? // Опыт проведения летних экологических школ и лагерей. Н. Новгород: Изд-во Ю. А. Николаева, 2000б. С. 45—48.  19. Пестов М. В., Маннапова Е. И. Охрана земноводных и пресмыкающихся в Нижегородской области // Вопросы герпетологии: Матер. I съезда герпетологического об-ва им. А. М. Никольского. Пущино; М., 2001а. С. 229—231.  20. Пестов М. В., Маннапова Е. И. Предварительные итоги проведения биотехнических мероприятий по оптимизации условий размножения сибирского углозуба (Salamandrella keyserlingii Dybowski) в Нижегородской области // Актуальные проблемы герпетологии и токсинологии: Сб. науч. тр. Тольятти, 2001б. Вып. 5. С. 79—81.  21. Пестов М. В., Маннапова Е. И., Ушаков В. А., Катунов Д. П., Бакка С. В., Лебединский А. А., Турутина Л. В. Амфибии и рептилии Нижегородской области: Материалы к кадастру / Ред. А. И. Бакка. Н. Новгород: Международный Социально-экологичес"кий союз, Экоцентр «Дронт», 2001. 178 с.  22. Пестов М. В., Маннапова Е. И., Ушаков В. А., Катунов Д. П. Материалы к кадастру земноводных и пресмыкающихся Нижегородской области // Материалы к кадастру амфибий и рептилий бассейна Средней Волги, Н. Новгород: Международный Социально-экологичес"кий союз, Экоцентр «Дронт», 2002. С. 9—72.  23. Пестов М. В., Маннапова Е. И., Ушаков В. А. Обыкновенная медянка — Coronella austriaca Laurenti // Красная книга Нижегородской области, Н. Новгород, 2003. С. 154—155.  24. Пестов М. В., Ушаков В. А. Итоги проекта «Учимся узнавать, наблюдать, охранять и любить нелюбимых животных» // Вопросы археологии, истории, культуры и природы Верхнего Поочья.: Матер. X регион. науч. конф. Калуга, 2003. С. 629—637.  25. Пестов М. В., Ушаков В. А., Маннапова Е. И. Обыкновенная гадюка — Vipera berus L. // Красная книга Нижегородской области. Н. Новгород, 2003. С. 153—154.  26. Пестов М. В., Маландзия В. И., Мильто К. Д., Дбар Р. С., Пестов Г. М. 2009. Средиземноморская черепаха Никольского (Testudo graeca nikolskii) в Абхазии // Современная герпетология. Т. 9, вып. 1/2. С. 41—51.  27. Ручин А. Б., Пестов М. В. Первое межрегиональное совещание по изучению амфибий Волжского бассейна // Зоол. журн. 2003. Т. 82, № 7. С. 894—896.  28. Ушаков В. А., Пестов М. В. К биологии обыкновенной гадюки в условиях Горьковской области // Вид и его продуктивность в ареале. М., 1983. С. 76—82.  29. Ушаков В. А., Пестов М. В. Защитное поведение у ужа обыкновенного // Вестник зоол. 1985. № 1. С. 78.  30. Ушаков В. А., Пестов М. В., Маннапова Е. И. Очерк истории герпетологических исследований в Нижегородской области // Актуальные проблемы герпетологии и токсинологии: Сб. науч. тр. Тольятти, 2000. Вып. 4. С. 55—75.  31. Ушаков В. А., Пестов М. В., Маннапова Е. И. Сибирский углозуб – Salamandrella keyserlingii Dyb. // Красная книга Нижегородской области, Н. Новгород, 2003. С. 156—157.  32. Borkin L. J., Litvinchuk S. N., Mannapova E. I., Pestov M. V., Rosanov J. M. The distribution of green frogs (Rana esculenta complex) in Nizhny Novgorod province, central european Russia // Russian Journal of Herpetology. Vol. 9, No. 3. 2002. P. 195—208.  33. Pestov M. V., Anufriev V. M. The frog princess and other projects // Froglog. 2001. № 46 (August). Р. 1—2.  34. Pestov M. V., Mannapova E. I., Lebedinsky A. A., Pigeeva Yu. A. The distribution of amphibians in the Nizhegorodskaya Province // Advances in Amphibian Research in the Former Soviet Union. Sofia; Moscow, 2000. Vol. 5. P. 133—139.  35. Pestov M. V., Lebedinsky A. A., Anufriev V. M., Mokrousov M. V., Yanchurevich O. V. Project on the Reintroduction of the Common Tree Frog (Hyla arborea arborea) on the Territory of Russia // Advances in Amphibian Research in the Former Soviet Union. Sofia; Moscow, 2002. Vol. 7. P. 207—208.  36. Pestov M. The Project «Learning to know, observe, protect and admire unpopular animals» // 12th Ordinary General Meeting Societas Europaea Herpetologica (SEH): Programme&Abstracts. S.-Petersburg, 2003. Р. 129.	pestov-mark-1.jpeg	reptiles	education, researches,publications	rares
Пиняев Сергей Михайлович	руководитель организации "Джунгли"			jungle	education	none
Селивановская Татьяна Петровна	литературный редактор газеты "Берегиня"			bereginya	publications	none
Темнухин Валерий Борисович	эксперт-лесопатолог	Окончил лесохозяйственный факультет Ленинградской лесотехнической академии им. С.М.Кирова. Работал в Институте лесоведения РАН. Стипендиат Президента РФ в номинации «молодой талантливый учёный».  Автор более 80 научных работ, посвящённых изучению древесных остатков и дереворазрушающих грибов, гнилевых болезней леса и городских насаждений, устойчивости лесов и городских насаждений, ведению лесного и городского зелёного хозяйства.  Принимал участие в лесопатологических обследованиях лесов и особо охраняемых природных территорий Московской, Рязанской, Ленинградской и Нижегородской областей, системы озеленения г.Дзержинск Нижегородской области.  С 2002 года сотрудничает с экоцентром «Дронт» по вопросам экспертной оценки санитарного состояния, аварийности и устойчивости лесных и городских зелёных насаждений, качества ухода за насаждениями, борьбы с хищениями лесных ресурсов и незаконным оборотом лесоматериалов.	Tiemnukhin.jpeg	none	none	none
Торопова Наталия Львовна	инструктор			none	none	none
Фуфаева Ирина Владимировна	экожурналист			none	none	none
Чеботарева Ольга Васильевна	юрист, руководитель Нижегородского эколого-правового центра			lawcenter	activist,law	
Шарловский Алексей Валентинович	системный администратор			none	none	none
Шустов Сергей Борисович	научный руководитель ИКЦ "Стрикс"			striks	education, publications	
Ануфриев Владимир Михайлович	руководитель фотовидеолаборатории "Реальный мир"			realworld	 publications	none
Ануфриева Наталия Геннадиевна	Дизайнер фотовидеостудии "Реальный мир"			realworld	publications	none